,author,content,description,publishedAt,source,title,url,urlToImage
10,,"Ajax are ahead of AZ Alkmaar on goal difference at the top of the Eredivisie
The Dutch Football Association “intends not to continue” the Eredivisie season after the national government extended a ban on major events until 1 September because of coronavirus.… [+1191 chars]",The Dutch Football Association “intends not to continue” the Eredivisie season after the national government extended a ban on major events until 1 September.,2020-04-21T19:53:35Z,"{'id': 'bbc-news', 'name': 'BBC News'}",Eredivisie: Dutch top flight likely to be cancelled after major events ban extended,https://www.bbc.co.uk/sport/football/52376543,https://ichef.bbci.co.uk/onesport/cps/624/cpsprodpb/6EED/production/_111879382_52376543.jpg
11,https://www.facebook.com/bbcnews,"Image copyrightEPA Image caption
 The UN had called on both sides to end fighting and ramp up efforts to tackle the coronavirus outbreak
A Saudi Arabian-led coalition fighting Houthi forces in Yemen has declared a ceasefire, according to officials. 
Source… [+1865 chars]",The coalition has been fighting against Houthi forces in Yemen since March 2015.,2020-04-08T21:32:22Z,"{'id': 'bbc-news', 'name': 'BBC News'}",Yemen: Saudi-led coalition announces ceasefire,https://www.bbc.co.uk/news/world-middle-east-52224358,https://ichef.bbci.co.uk/news/1024/branded_news/742D/production/_111714792_060861354-1.jpg
12,https://www.facebook.com/bbcnews,"Image copyrightTabitha Warley/Alex Outhwaite/Israel Cassol
It's hard to believe that even in lockdown, life on Instagram can look idyllic.
Last month, Manchester-born Jack Morris posted a photograph in his swimwear, standing in an infinity pool against a pi… [+5844 chars]",Advertisers are cancelling contracts with influencers who can’t travel to create content in lockdown.,2020-04-23T23:20:44Z,"{'id': None, 'name': 'Bbc.com'}",Coronavirus: Influencers' glossy lifestyles lose their shine,https://www.bbc.com/news/business-52362462,https://ichef.bbci.co.uk/news/1024/branded_news/7203/production/_111878192_insta.png
13,,Chat with us in Facebook Messenger. Find out what's happening in the world as it unfolds.,"Tom Hanks sent a letter and a gift to an 8-year-old Australian boy named Corona DeVries, who says he has been bullied because of his name. DeVries mailed Hanks a letter when he heard he was diagnosed with Covid-19.",2020-04-24T12:55:55Z,"{'id': 'cnn', 'name': 'CNN'}",Tom Hanks befriends bullied 8-year-old named Corona,https://www.cnn.com/videos/world/2020/04/24/tom-hanks-corona-bullied-typewriter-pkg-vpx.nine-news,https://cdn.cnn.com/cnnnext/dam/assets/200424083447-tom-hanks-corona-bullied-typewriter-pkg-vpx-00002426-super-tease.jpg
14,"Jessica Campisi, CNN","(CNN)The US Census Bureau estimates that about 11.5 million Americans have some degree of hearing loss. Yet months into the coronavirus pandemic, the White House still does not have American Sign Language interpreters at its televised public health press brie… [+5616 chars]","The US Census Bureau estimates that about 11.5 million Americans have some degree of hearing loss. Yet months into the coronavirus pandemic, the White House still does not have American Sign Language interpreters at its televised public health press briefings.",2020-04-23T11:23:34Z,"{'id': 'cnn', 'name': 'CNN'}",Deaf Americans are urging the White House to use sign language interpreters at coronavirus briefings,https://www.cnn.com/2020/04/23/politics/white-house-interpreter-coronavirus-briefings-trnd/index.html,https://cdn.cnn.com/cnnnext/dam/assets/200420122212-donald-trump-coronavirus-briefing-0418-super-tease.jpg
15,Opinion by Lisa Selin Davis,"Lisa Selin Davis is the author of ""Tomboy: The Surprising History and Future of Girls Who Dare to Be Different."" She has written The New York Times, CNN, The Wall Street Journal, The Guardian and many other publications. She The views expressed here are hers.… [+8675 chars]","""Stay out of Google Classroom,"" the administrators of my daughter's Brooklyn elementary school cautioned parents in their first official communique about remote learning. To peer over their shoulders while sitting at their laptops and look at their work would…",2020-04-28T12:02:21Z,"{'id': 'cnn', 'name': 'CNN'}",It's time to admit the point of school has changed,https://www.cnn.com/2020/04/28/opinions/time-to-accept-covid-19-has-changed-education-selin-davis/index.html,https://cdn.cnn.com/cnnnext/dam/assets/200427181208-home-school-0402-cincinatti-restricted-super-tease.jpg
16,"Jen Rose Smith, CNN","(CNN)Doctors fight epidemics like Covid-19 by following contagion from person to person, eventually mapping a complex series of our physical encounters with friends, co-workers and acquaintances. 
It's a piece of medical detective work that also reveals our … [+8525 chars]","Dr. Vitek H. Murthy, former US surgeon general, makes the case that with health implications that include heart disease and stroke, dementia and depression, loneliness is a topic that we can't afford to ignore.",2020-04-17T11:17:45Z,"{'id': 'cnn', 'name': 'CNN'}",Before coronavirus we were dying of loneliness. Can a pandemic help America heal?,https://www.cnn.com/2020/04/17/health/loneliness-epidemic-coronavirus-healing-wellness/index.html,https://cdn.cnn.com/cnnnext/dam/assets/200416163151-vivek-murthy-2015-super-tease.jpg
17,https://www.facebook.com/bbcnews,"Image copyrightGetty ImagesImage caption
 Tom Hanks recovered from coronavirus last month in Australia
US actor Tom Hanks has replied to a letter and sent the gift of a Corona-brand typewriter to an Australian boy bullied because of his name - Corona. 
Cor… [+1800 chars]",The Australian boy sent a letter to the Hollywood star when he heard Hanks had caught the virus.,2020-04-24T02:29:20Z,"{'id': 'bbc-news', 'name': 'BBC News'}",Tom Hanks offers friendship to bullied boy named Corona,https://www.bbc.co.uk/news/world-australia-52406943,https://ichef.bbci.co.uk/news/1024/branded_news/8BCF/production/_111919753_7e1dd68e-e034-4657-919f-cd2cc058e983.jpg
18,https://www.facebook.com/bbcnews,"Image copyrightGetty ImagesImage caption
 Ischgl is thought to be where hundreds of European skiers became infected
Austria has lifted the strict quarantine on three ski resorts in Tyrol which were coronavirus hotspots. 
The three include Ischgl, known as … [+3445 chars]","Ischgl, known as the ""Ibiza of the Alps"", is blamed for hundreds of cases among skiers across Europe.",2020-04-22T23:09:00Z,"{'id': None, 'name': 'Bbc.com'}",Coronavirus: Ischgl resort at heart of Europe’s outbreak reopens,https://www.bbc.com/news/world-europe-52384572,https://ichef.bbci.co.uk/news/1024/branded_news/C3F8/production/_111886105_mediaitem111886104.jpg
19,https://www.facebook.com/bbcnews,"We've all been there. A coronavirus post that could be true and sounds about right, but how do we know it's accurate?
To help, the BBC's disinformation-monitoring team is fact-checking and verifying some of the most widely shared fake and misleading stories … [+5399 chars]",A global look at Covid-19 rumours and disinformation.,2020-04-03T23:50:52Z,"{'id': 'bbc-news', 'name': 'BBC News'}",Coronavirus: Fake and misleading stories that went viral this week,https://www.bbc.co.uk/news/52124740,https://ichef.bbci.co.uk/news/1024/branded_news/7A03/production/_111553213_fake_news_index_v6.jpg
