,active_cases,cases,country_name,deaths,deaths_per_1m_population,new_cases,new_deaths,region,serious_critical,tests_per_1m_population,total_cases_per_1m_population,total_recovered,total_tests
69,"1,361","1,643",Estonia,49,37,8,3,,6,"36,134","1,239",233,"47,933"
70,779,"1,621",Cameroon,56,2,103,3,,12,0,61,786,0
71,"1,384","1,550",Ghana,11,0.4,271,1,,4,"3,238",50,155,"100,622"
72,"1,274","1,531",Afghanistan,50,1,68,3,,7,208,39,207,"8,090"
73,833,"1,516",Bosnia and Herzegovina,59,18,30,2,,4,"7,873",462,624,"25,830"
74,310,"1,470",New Zealand,18,4,9,0,,1,"25,088",305,"1,142","120,981"
75,930,"1,438",Lithuania,41,15,12,0,,17,"38,382",528,467,"104,488"
76,"1,093","1,396",Slovenia,82,39,8,1,,23,"23,557",671,221,"48,973"
77,825,"1,386",North Macedonia,61,29,19,2,,13,"7,257",665,500,"15,120"
78,967,"1,379",Slovakia,18,3,6,1,,5,"12,991",253,394,"70,928"
79,814,"1,369",Cuba,54,5,32,3,,11,"3,516",121,501,"39,828"
80,"1,039","1,300",Bulgaria,56,8,53,1,,41,"3,886",187,205,"27,000"
81,925,"1,182",Nigeria,35,0.2,0,0,,2,49,6,222,"10,061"
82,668,"1,150",Ivory Coast,14,0.5,73,0,,0,0,44,468,0
83,281,"1,038",Hong Kong,4,0.5,0,0,,4,"19,426",138,753,"145,640"
84,610,"1,023",Djibouti,2,2,15,0,,0,"11,884","1,035",411,"11,741"
85,781,996,Guinea,7,0.5,0,0,,0,0,76,208,0
86,695,949,Tunisia,38,3,10,0,,20,"1,761",80,216,"20,818"
87,746,866,Bolivia,46,4,59,2,,3,428,74,74,"4,995"
88,655,817,Cyprus,14,12,7,0,,15,"36,064",677,148,"43,542"
89,533,812,Latvia,12,6,8,0,,6,"25,274",430,267,"47,671"
90,354,738,Andorra,40,518,0,0,,17,"21,653","9,552",344,"1,673"
91,288,726,Albania,28,10,14,1,,4,"2,529",252,410,"7,279"
92,54,712,Diamond Princess,13,0,0,0,,4,0,0,645,0
93,538,707,Lebanon,24,4,3,0,,44,"4,077",104,145,"27,827"
94,317,696,Niger,29,1,12,2,,0,207,29,350,"5,013"
95,425,695,Costa Rica,6,1,2,0,,8,"2,447",136,264,"12,467"
96,304,682,Kyrgyzstan,8,1,17,0,,13,"6,994",105,370,"45,627"
97,380,671,Senegal,8,0.5,57,1,,1,28,40,283,466
98,137,632,Burkina Faso,42,2,3,1,,0,0,30,453,0
99,503,627,Honduras,59,6,36,4,,10,349,63,65,"3,457"
100,212,596,Uruguay,14,4,33,2,,9,"4,749",172,370,"16,496"
101,433,538,San Marino,41,"1,208",25,1,,4,"61,124","15,856",64,"2,074"
102,158,525,Channel Islands,35,201,0,0,,0,"30,725","3,020",332,"5,342"
103,396,523,Sri Lanka,7,0.3,71,0,,2,647,24,120,"13,850"
104,331,486,Georgia,6,2,30,1,,6,"2,431",122,149,"9,699"
105,415,473,Guatemala,13,0.7,43,2,,5,402,26,45,"7,200"
106,162,448,Malta,4,9,0,0,,2,"63,371","1,015",282,"27,981"
107,103,447,Jordan,7,0.7,3,0,,5,"6,247",44,337,"63,737"
108,364,442,DRC,28,0.3,26,0,,0,0,5,50,0
109,403,436,Somalia,23,1,46,5,,2,0,27,10,0
110,142,429,Taiwan,6,0.3,0,0,,0,"2,539",18,281,"60,459"
111,117,417,Réunion,0,0,0,0,,2,0,466,300,0
112,253,401,Mayotte,4,15,21,0,,4,"9,164","1,470",144,"2,500"
113,254,389,Mali,23,1,19,2,,0,107,19,112,"2,172"
114,235,355,Kenya,14,0.3,12,0,,2,335,7,106,"17,992"
115,257,342,Palestine,2,0.4,0,0,,0,"5,293",67,83,"27,000"
116,24,332,Mauritius,9,7,1,0,,3,"11,358",261,299,"14,445"
117,181,323,Venezuela,10,0.4,0,0,,3,"14,896",11,132,"423,592"
118,161,321,Montenegro,7,11,1,1,,7,"8,096",511,153,"5,085"
119,43,308,Isle of Man,18,212,0,0,,22,"33,563","3,622",247,"2,854"
120,270,305,Jamaica,7,2,17,0,,0,969,103,28,"2,868"
121,241,299,Tanzania,10,0.2,0,0,,7,0,5,48,0
122,207,298,El Salvador,8,1,24,0,,4,"2,881",46,83,"18,686"
123,45,270,Vietnam,0,0,0,0,,8,"2,188",3,225,"212,965"
124,249,258,Equatorial Guinea,1,0.7,0,0,,0,609,184,8,854
125,196,237,Sudan,21,0.5,24,4,,0,0,5,20,0
126,134,228,Paraguay,9,1,5,0,,1,"1,070",32,85,"7,630"
127,197,214,Maldives,0,0,37,0,,2,"9,798",396,17,"5,296"
128,175,200,Congo,6,1,0,0,,0,0,36,19,0
129,99,191,Rwanda,0,0,8,0,,0,537,15,92,"6,959"
130,9,187,Faeroe Islands,0,0,0,0,,0,"134,826","3,827",178,"6,588"
131,143,176,Gabon,3,1,0,0,,1,257,79,30,572
132,84,175,Martinique,14,37,0,0,,7,0,466,77,0
133,55,149,Guadeloupe,12,30,0,0,,11,0,372,82,0
134,131,146,Myanmar,5,0.09,2,0,,0,123,3,10,"6,678"
135,14,138,Brunei,1,2,0,0,,2,"29,672",315,123,"12,981"
136,5,136,Gibraltar,0,0,0,0,,0,"64,528","4,037",131,"2,174"
137,87,124,Liberia,12,2,4,1,,0,0,25,25,0
138,53,124,Madagascar,0,0,1,0,,1,85,4,71,"2,357"
139,79,123,Ethiopia,3,0.03,1,0,,0,119,1,41,"13,645"
140,5,122,Cambodia,0,0,0,0,,1,345,7,117,"5,768"
141,54,115,Trinidad and Tobago,8,6,0,0,,0,"1,082",82,53,"1,514"
142,23,111,French Guiana,1,3,0,0,,0,0,372,87,0
143,65,109,Bermuda,5,80,0,0,,10,"18,835","1,750",39,"1,173"
144,104,106,Cabo Verde,1,2,16,0,,0,"1,423",191,1,791
145,25,100,Aruba,2,19,0,0,,4,"15,192",937,73,"1,622"
146,30,98,Togo,6,0.7,2,0,,0,719,12,62,"5,951"
147,48,94,Monaco,4,102,0,0,,1,0,"2,395",42,0
148,79,93,Sierra Leone,4,0.5,11,2,,0,0,12,10,0
149,43,88,Zambia,3,0.2,4,0,,1,141,5,42,"2,586"
150,26,82,Liechtenstein,1,26,1,0,,0,"23,605","2,151",55,900
151,47,80,Bahamas,11,28,2,0,,1,0,203,22,0
152,41,79,Barbados,6,21,0,0,,4,"5,227",275,32,"1,502"
153,33,79,Uganda,0,0,4,0,,0,444,2,46,"20,329"
154,64,76,Mozambique,0,0,6,0,,0,53,2,12,"1,644"
155,28,74,Sint Maarten,13,303,1,1,,7,"6,204","1,726",33,266
156,54,74,Guyana,8,10,1,1,,5,562,94,12,442
157,60,72,Haiti,6,0.5,0,0,,0,63,6,6,719
158,61,70,Cayman Islands,1,15,0,0,,3,"14,303","1,065",8,940
159,30,64,Benin,1,0.08,10,0,,0,0,5,33,0
160,41,61,Libya,2,0.3,0,0,,0,236,9,18,"1,623"
161,48,59,Eswatini,1,0.9,3,0,,0,615,51,10,714
