,active_cases,cases,country_name,deaths,deaths_per_1m_population,new_cases,new_deaths,region,serious_critical,tests_per_1m_population,total_cases_per_1m_population,total_recovered,total_tests
112,110,465,Malta,4,9,2,0,,1,"74,713","1,053",351,"32,989"
113,83,453,Jordan,8,0.8,2,0,,5,"6,247",44,362,"63,737"
114,372,442,Sudan,31,0.7,67,3,,0,0,10,39,0
115,101,429,Taiwan,6,0.3,0,0,,0,"2,639",18,322,"62,844"
116,120,420,Réunion,0,0,0,0,,2,0,469,300,0
117,235,396,Kenya,17,0.3,12,2,,2,377,7,144,"20,268"
118,360,396,Jamaica,7,2,0,0,,3,"1,348",134,29,"3,993"
119,267,395,El Salvador,9,1,18,0,,3,"3,709",61,119,"24,057"
120,266,344,Palestine,2,0.4,0,0,,0,"5,293",67,76,"27,000"
121,12,332,Mauritius,10,8,0,0,,3,"12,603",261,310,"16,028"
122,179,331,Venezuela,10,0.4,0,0,,2,"16,132",12,142,"458,737"
123,101,322,Montenegro,7,11,0,0,,2,"10,929",513,214,"6,864"
124,34,315,Isle of Man,21,247,2,0,,21,"36,656","3,704",260,"3,117"
125,305,315,Equatorial Guinea,1,0.7,0,0,,0,609,225,9,854
126,206,276,Gabon,3,1,0,0,,1,325,124,67,724
127,51,270,Vietnam,0,0,0,0,,8,"2,681",3,219,"261,004"
128,129,249,Paraguay,9,1,10,0,,1,"1,325",35,111,"9,454"
129,139,243,Rwanda,0,0,18,0,,0,741,19,104,"9,604"
130,192,220,Congo,9,2,13,1,,0,0,40,19,0
131,185,205,Guinea-Bissau,1,0.5,0,0,,0,762,104,19,"1,500"
132,3,187,Faeroe Islands,0,0,0,0,,0,"142,500","3,827",184,"6,963"
133,81,178,Martinique,14,37,3,0,,5,0,474,83,0
134,44,151,Guadeloupe,12,30,2,0,,11,0,377,95,0
135,117,150,Myanmar,6,0.1,0,0,,0,142,3,27,"7,718"
136,13,144,Gibraltar,0,0,3,0,,0,"77,944","4,274",131,"2,626"
137,80,141,Liberia,16,3,0,0,,0,0,28,45,0
138,13,138,Brunei,1,2,0,0,,2,"31,041",315,124,"13,580"
139,69,131,Ethiopia,3,0.03,1,0,,0,155,1,59,"17,842"
140,36,128,Madagascar,0,0,0,0,,1,117,5,92,"3,228"
141,31,126,French Guiana,1,3,1,0,,2,0,422,94,0
142,96,124,Sierra Leone,7,0.9,20,3,,0,0,16,21,0
143,3,122,Cambodia,0,0,0,0,,1,716,7,119,"11,975"
144,42,116,Togo,9,1,7,2,,0,831,14,65,"6,882"
145,36,116,Trinidad and Tobago,8,6,0,0,,0,"1,236",83,72,"1,730"
146,113,116,Cabo Verde,1,2,3,0,,0,"1,423",209,2,791
147,57,111,Bermuda,6,96,0,0,,10,"35,277","1,782",48,"2,197"
148,48,106,Zambia,3,0.2,9,0,,1,287,6,55,"5,284"
149,19,100,Aruba,2,19,0,0,,4,"15,838",937,79,"1,691"
150,87,100,Eswatini,1,0.9,9,0,,0,615,86,12,714
151,27,95,Monaco,4,102,0,0,,1,0,"2,421",64,0
152,26,82,Liechtenstein,1,26,0,0,,0,"23,605","2,151",55,900
153,35,81,Barbados,7,24,1,0,,4,"7,516",282,39,"2,160"
154,29,81,Uganda,0,0,0,0,,0,640,2,52,"29,279"
155,44,80,Bahamas,11,28,0,0,,1,0,203,25,0
156,52,78,Guyana,8,10,4,0,,3,660,99,18,519
157,61,76,Haiti,7,0.6,0,1,,0,68,7,8,776
158,64,76,Mozambique,0,0,0,0,,0,61,2,12,"1,896"
159,29,75,Sint Maarten,13,303,0,0,,7,"7,044","1,749",33,302
160,35,73,Chad,5,0.3,21,3,,0,0,4,33,0
161,62,73,Cayman Islands,1,15,0,0,,3,"23,356","1,111",10,"1,535"
162,30,64,Benin,1,0.08,0,0,,0,0,5,33,0
163,40,61,Libya,3,0.4,0,1,,0,284,9,18,"1,949"
164,8,58,French Polynesia,0,0,0,0,,1,"8,576",206,50,"2,409"
165,41,57,Nepal,0,0,0,0,,0,"1,963",2,16,"57,189"
166,40,50,CAR,0,0,0,0,,0,0,10,10,0
167,10,45,Macao,0,0,0,0,,1,0,69,35,0
168,19,43,Syria,3,0.2,0,0,,0,0,2,21,0
169,31,40,Zimbabwe,4,0.3,8,0,,0,514,3,5,"7,642"
170,13,39,Eritrea,0,0,0,0,,0,0,11,26,0
171,11,38,Saint Martin,3,78,0,0,,3,0,983,24,0
172,28,38,Mongolia,0,0,0,0,,0,"2,274",12,10,"7,455"
173,27,37,Malawi,3,0.2,1,0,,1,40,2,7,774
174,35,35,South Sudan,0,0,1,0,,0,0,3,0,0
175,18,27,Angola,2,0.06,0,0,,0,0,0.8,7,0
176,10,24,Antigua and Barbuda,3,31,0,0,,1,"1,154",245,11,113
177,8,24,Timor-Leste,0,0,0,0,,0,244,18,16,322
178,17,23,Botswana,1,0.4,0,0,,0,"2,784",10,5,"6,548"
179,7,20,Grenada,0,0,0,0,,4,"12,495",178,13,"1,406"
180,11,19,Laos,0,0,0,0,,0,265,3,8,"1,927"
181,7,18,Belize,2,5,0,0,,1,"2,502",45,9,995
182,6,18,Fiji,0,0,0,0,,0,"1,123",20,12,"1,007"
183,1,18,New Caledonia,0,0,0,0,,1,"15,608",63,17,"4,456"
184,2,17,Saint Lucia,0,0,0,0,,0,"2,429",93,15,446
185,2,16,Curaçao,1,6,0,0,,0,"2,090",98,13,343
186,3,16,Dominica,0,0,0,0,,0,"5,320",222,13,383
187,8,16,Namibia,0,0,0,0,,0,277,6,8,704
188,8,16,St. Vincent Grenadines,0,0,0,0,,0,973,144,8,108
189,9,15,Saint Kitts and Nevis,0,0,0,0,,0,"5,508",282,6,293
190,15,15,Tajikistan,0,0,15,0,,0,0,2,0,0
191,4,14,Nicaragua,3,0.5,1,0,,0,0,2,7,0
192,10,14,Sao Tome and Principe,0,0,6,0,,0,87,64,4,19
193,2,13,Falkland Islands,0,0,0,0,,0,"106,897","3,736",11,372
194,6,12,Turks and Caicos,1,26,0,0,,0,"2,144",310,5,83
195,6,11,Burundi,1,0.08,0,0,,0,24,0.9,4,284
196,2,11,Gambia,1,0.4,1,0,,0,166,5,8,401
197,8,11,Montserrat,1,200,0,0,,1,"7,212","2,204",2,36
198,0,11,Greenland,0,0,0,0,,0,"22,160",194,11,"1,258"
199,9,11,Vatican City,0,0,1,0,,0,0,"13,733",2,0
200,5,11,Seychelles,0,0,0,0,,0,0,112,6,0
201,1,10,Suriname,1,2,0,0,,0,689,17,8,404
202,7,9,MS Zaandam,2,0,0,0,,0,0,0,0,0
203,1,8,Mauritania,1,0.2,0,0,,0,222,2,6,"1,032"
204,8,8,Papua New Guinea,0,0,0,0,,0,68,0.9,0,604
205,2,7,Bhutan,0,0,0,0,,0,"13,018",9,5,"10,045"
206,3,6,Yemen,2,0.07,0,2,,0,4,0.2,1,120
207,2,6,British Virgin Islands,1,33,0,0,,0,0,198,3,0
208,0,6,St. Barth,0,0,0,0,,0,0,607,6,0
209,1,6,Western Sahara,0,0,0,0,,0,0,10,5,0
210,5,5,Caribbean Netherlands,0,0,0,0,,0,"4,195",191,0,110
211,0,3,Anguilla,0,0,0,0,,0,0,200,3,0
212,1,1,Comoros,0,0,1,0,,0,0,1,0,0
213,1,1,Saint Pierre Miquelon,0,0,0,0,,0,0,173,0,0
214,619,"82,862",China,"4,633",3,4,0,,41,0,58,"77,610",0
